"studentname","address","city","state","postalcode"
"Thaddeus Curry","7186 Aliquet Street","Columbia","MO","87750"
"Debra Livingston","469-2541 Semper, Rd.","Joliet","IL","79613"
"Heidi Tyler","Ap #200-3584 Amet Street","Overland Park","KS","41926"
"Veronica Payne","P.O. Box 728, 7878 Cum Avenue","Stamford","CT","85676"
"Vivien Justice","P.O. Box 279, 5442 Mauris St.","Owensboro","KY","98838"
"Jennifer Sullivan","420-2067 Urna. Rd.","Auburn","ME","12116"
"Fuller Riddle","4972 Vestibulum, Av.","Green Bay","WI","39813"
"Harper Beck","P.O. Box 749, 4797 Interdum. Av.","Sioux City","IA","89411"
"Laith Henry","838-6731 Proin Rd.","New Haven","CT","55575"
"Kane Roberson","P.O. Box 980, 4507 Lobortis Rd.","Tallahassee","FL","19676"
"Geraldine Clark","4359 Malesuada Av.","Newark","DE","18343"
"Anthony Bryant","P.O. Box 165, 6185 Proin Rd.","Kaneohe","HI","50705"
"Samson Stafford","6771 Purus, Av.","Billings","MT","26095"
"Brenna Pratt","P.O. Box 340, 2345 Orci, Street","Bridgeport","CT","14720"
"Kirestin Huff","P.O. Box 918, 2070 Maecenas Av.","Butte","MT","89463"
"Maite Morgan","Ap #922-4188 Ut Rd.","Lincoln","NE","67070"
"Hadley Mcclain","Ap #812-4012 Sed Road","Clarksville","TN","93234"
"Vera Blackburn","4253 Eget Rd.","Lincoln","NE","12442"
"Luke Smith","1693 Tincidunt. Road","Olathe","KS","96892"
"Hollee Cross","Ap #137-2013 Molestie Av.","Mesa","AZ","86442"
"Jane Irwin","743-4122 Eu St.","Tampa","FL","94931"
"Margaret Knapp","Ap #881-5482 Condimentum Road","Kansas City","KS","81681"
"Brynne Banks","2312 Felis Street","Saint Paul","MN","77970"
"Xantha Love","5393 Cursus, Ave","Jonesboro","AR","71472"
"Porter Bullock","190-1915 Dapibus Avenue","Wilmington","DE","77356"
"Shelly Bright","Ap #201-1520 Non Street","Jonesboro","AR","71000"
"Donna Crane","231-4018 Sed Avenue","Shreveport","LA","14344"
"Dante Levine","844 Scelerisque St.","South Bend","IN","72105"
"Valentine Watts","P.O. Box 454, 8604 Velit Rd.","Henderson","NV","41898"
"Mari Christian","Ap #746-6499 Morbi Road","Little Rock","AR","71520"
"Charde Curtis","8816 Lorem Rd.","Independence","MO","50463"
"Vielka Alvarado","168-5707 Dolor. Ave","West Valley City","UT","99379"
"Steven Collier","866 Aliquet. St.","Lincoln","NE","98289"
"Scott Craft","814 Nunc Street","Las Vegas","NV","25025"
"Erasmus Sloan","Ap #209-258 Ipsum. Rd.","Huntsville","AL","35682"
"Constance Cook","114-543 Vulputate, Avenue","Owensboro","KY","28531"
"Julian Conrad","P.O. Box 462, 1738 Ultricies Rd.","Lafayette","LA","91491"
"Xyla Watts","Ap #804-7317 Enim, St.","Baton Rouge","LA","96790"
